scientific_name,name_vi,name_en,native,food_in_enclosure,enclosure_design,family_vn,habitat_vi,habitat_en,fun_fact_vi,fun_fact_en,other_name_vi,other_name_en,family_en,IUCN,SDVN,CITES,LDT,ND06,ND160,ND26
Platysternon megacephalum,Rùa đầu to,Big-headed Turtle,y,,,Họ rùa đầu to,,,,,,,Platysternidae,CR (2021),EN,I,X,IB,X,X
Cuora amboinensis,Rùa hộp lưng đen,Malayan Box Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,EN (2020),VU,II,,IIB,,
Cuora galbinifrons,Rùa hộp trán vàng miền Bắc,Indochinese Box Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2020),EN,II,X,IB,X,X
Cuora bourreti,Rùa hộp trán vàng miền Trung,Bourret’s Box Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2020),EN,I,,IB,X,
Cuora picturata,Rùa hộp trán vàng miền Nam,Southern Vietnam Box Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2020),EN,I,,IB,X,
Cuora mouhotii,Rùa sa nhân,Keeled Box Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,EN (2020),,II,,IIB,,
Cuora cyclornata,Rùa hộp ba vạch,Vietnamese Three-striped Box Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2020),CR,II,X,IB,X,X
Cyclemys oldhamii,Rùa đất Sê-pôn,Southern Asian Leaf Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,EN (2021),,II,,IIB,,
Cyclemys pulchristriata,Rùa đất Pul-kin,Eastern Black-bridged Leaf Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,EN (2021),,II,,IIB,,
Cyclemys atripons,Rùa đất A-tri-pôn,Western Black-bridged Leaf Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,EN (2021),,II,,,,
Geoemyda spengleri,Rùa đất Speng-lơ,Black-breasted Leaf Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,EN (2020),,II,,IIB,,
Heosemys grandis,Rùa đất lớn,Giant Asian Pond Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2021),VU,II,,IIB,,
Heosemys annandalii,Rùa răng,Yellow-headed Temple Turtle,y,,,Họ rùa đầm,,,Rùa răng là loài rùa duy nhất ở VN có khứa ở hàm trên giống răng ở người,The Yellow-headed Temple Turtle is the only species in Vietnam that has a tooth-like notch in the upper jaw,,,Geoemydidae,CR (2021),EN,II,,IIB,,
Malayemys subtrijuga,Rùa ba gờ,Mekong Snail-eating Turtle,y,,,Họ rùa đầm,,,Rùa 3 gờ là loài hay xiên xẹo không có căn cứ vì chúng rất thích ăn ốc ( Ăn ốc nói mò),,,,Geoemydidae,NT (2021),VU,II,,IIB,,
Mauremys annamensis,Rùa Trung Bộ,Vietnamese Pond Turtle,y,,,Họ rùa đầm,,,Rùa Trung Bộ là loài đặc hữu chỉ sinh sống ở Việt Nam,The Vietnamese Pond Turtle is an endemic species that only lives in Vietnam,,,Geoemydidae,CR (2020),CR,I,X,IB,X,X
Mauremys mutica,Rùa câm,Asian Yellow Pond Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2021),,II,,IIB,,
Mauremys sinensis,Rùa cổ sọc,Chinese Striped-neck Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2021),,III,,,,
Sacalia quadriocellata,Rùa bốn mắt,Four-eyed Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,CR (2021),,II,,IIB,,
Siebenrockiella crassicollis,Rùa cổ bự,Black Marsh Turtle,y,,,Họ rùa đầm,,,,,,,Geoemydidae,EN (2021),,II,,IIB,,
Indotestudo elongata,Rùa núi vàng,Elongated Tortoise,y,,,Họ rùa cạn/rùa núi,,,"Rùa núi vàng là loài duy nhất ở VN có hình dạng mai thuôn dài, nhiều nơi người dân địa gọi loài rùa này là rùa gối vì hình dạng mai của chúng","The Elongated Tortoise is the only species in Vietnam with an elongated shell, thus many places call it Pillow tortoise because of its shell shape.",,,Testudinidae,CR (2019),EN,II,,IIB,,
Manouria impressa,Rùa núi viền,Impressed Tortoise,y,,,Họ rùa cạn/rùa núi,,,"Rùa núi viền là loài rùa duy nhất ở VN có hai ""cựa"" mọc ở hai bên đùi sau, có hình dạng giống đuôi. Vì thế, rùa núi viền còn có tên gọi là rùa 3 đuôi ở một số nơi","The Impressed Tortoise is the only turtle in Vietnam that has two ""spikes"" growing on the sides of the hind thighs, shaped like a tail. Therefore, it is also called the 3-tailed turtle in some places",,,Testudinidae,EN (2021),VU,II,,IIB,,
Amyda ornata,Ba ba Nam Bộ,Asiatic Softshell Turtle,y,,,Họ rùa mai mềm/ba ba,,,,,,,Trionychidae,VU (2016),VU,II,,IIB,,
Palea steindachneri,Ba ba gai,Wattle-necked Softshell Turtle,y,,,Họ rùa mai mềm/ba ba,,,,,,,Trionychidae,CR (2021),VU,II,,IIB,,
Pelochelys cantorii,Giải,Cantor’s Giant Softshell Turtle,y,,,Họ rùa mai mềm/ba ba,,,,,,,Trionychidae,CR (2021),EN,II,X,IB,X,X
Pelodiscus variegatus,Ba ba bụng đốm,Spotted Softshell Turtle,y,,,Họ rùa mai mềm/ba ba,,,,,,,Trionychidae,,,,,,,
Rafetus swinhoei,Giải Sin-hoe,Swinhoe’s Softshell Turtle,y,,,Họ rùa mai mềm/ba ba,,,,,,,Trionychidae,CR (2021),CR,II,X,IB,X,X
Chelonoidis carbonarius,,,n,,,,,,,,,,,,,,,,,
Centrochelys sulcata,Rùa Sulcata,,n,,,,,,,,,,,,,,,,,
Chelydra serpentina,Rùa đớp,,n,,,,,,,,,,,,,,,,,
Graptemys pseudogeographica,,,n,,,,,,,,,,,,,,,,,
Macrochelys temminckii,Rùa cá sấu,,n,,,,,,,,,,,,,,,,,
Mauremys reevesii,Rùa đầm Trung Quốc,,n,,,,,,,,,,,,,,,,,
Podocnemis unifilis,,,n,,,,,,,,,,,,,,,,,
Trachemys scripta,Rùa tai đỏ,,n,,,,,,,,,,,,,,,,,
Geoclemys hamiltonii,Rùa ao đen,,n,,,,,,,,,,,,,,,,,